Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
FGF2,4,NM_002006,xm_015138970.1,nm_008006.2,nm_019305.2,xm_011226352.2,xm_012473014.1,nm_174056.4,xm_002755092.3,xm_010985556.1,xm_003432481.3,xm_018061205.1,xm_013160199.1,xm_014784486.1,xm_012082083.1,xm_013515320.1,xm_008000539.1,xm_006866266.1,xm_004695610.2,xm_007647307.2,xm_012518076.1,xm_013022178.1,xm_004711856.1,xm_006881125.1,,nm_001195221.1,xm_007536360.2,xm_019829923.1,xm_008579893.1,xm_019025035.1,xm_013075885.1,xm_005336535.2,xm_004667004.1,xm_010590603.1,xm_005555871.2,xm_011749293.1,xm_011978247.1,,xm_005069694.2,xm_020280143.1,xm_005370386.2,xm_016203316.1,nm_001033976.2,xm_004747965.2,xm_008849228.2,xm_003271356.3,xm_004594570.2,xm_004646152.1,xm_012562786.1,xm_004265206.1,xm_002717238.3,xm_003795520.2,nm_001009769.1,xm_008969466.1,nm_001110241.1,xm_003899161.3,xm_002815126.2,xm_012650403.1,,xm_010362518.1,xm_016160220.1,xm_003936241.2,xm_004606287.1,xm_013978917.1,xm_012558541.1,xm_014589591.1,xm_004322116.2
FKBP5,Alcohol,NM_001145775,xm_015136217.1,nm_010220.4,xm_006256222.3,xm_002914297.3,xm_012461602.1,xm_005223349.3,xm_017971035.1,xm_010994493.1,xm_538880.5,xm_018038959.1,xm_003473897.3,xm_004424222.2,xm_012075336.1,xm_005389562.2,xm_007972831.1,xm_006860396.1,xm_012722434.1,xm_003508613.3,xm_004458314.2,xm_013029625.1,xm_004710725.1,xm_006882049.1,xm_008151983.1,xm_005603843.2,xm_007534254.2,xm_011282249.2,xm_008591606.1,xm_004043877.2,xm_004846707.2,xm_005318774.2,xm_004649780.1,xm_003403952.2,xm_015449505.1,xm_011729221.1,xm_011986566.1,xm_017646577.1,xm_005084894.2,xm_020286977.1,xm_005360356.2,xm_016223739.1,xm_007483755.2,xm_013044791.1,xm_008840098.2,xm_003278855.2,xm_004590308.2,xm_004624198.1,xm_012564990.1,xm_004267682.1,xm_008262824.2,xm_003789130.2,xm_015102675.1,xm_008972339.1,xm_016955334.1,xm_017957823.1,nm_001131217.1,xm_012646629.1,xm_011373554.1,xm_010389659.1,xm_016120210.1,xm_010333763.1,xm_004617707.1,nm_001315611.1,xm_004379397.1,xm_006144182.2,xm_019949701.1
FLJ11184,Alcohol,NM_018352,xm_015139407.1,nm_025465.2,xm_006253023.3,xm_002927810.3,xm_012472900.1,nm_001035034.2,xm_002745271.3,xm_010986371.1,xm_005629390.2,xm_018049159.1,xm_003479648.3,xm_014796621.1,xm_012086498.1,xm_005373592.1,xm_008000177.1,xm_006872521.1,xm_012727009.1,xm_003504009.2,xm_004450807.2,xm_013026633.1,xm_013006174.1,xm_006892789.1,xm_008144380.1,xm_005607747.2,xm_016191406.1,xm_003984890.4,xm_008581632.1,xm_004040584.2,xm_004848235.2,xm_005329274.2,xm_004669670.1,xm_010598132.1,xm_005556217.2,xm_011752929.1,xm_011983987.1,xm_017667397.1,xm_013117160.1,xm_012735584.1,xm_005367753.2,xm_016217580.1,xm_007496158.2,xm_004775532.2,xm_008847800.2,xm_003257920.3,xm_012928767.1,xm_004630719.1,xm_004412397.2,xm_012531710.1,xm_008273501.2,xm_012808130.1,xm_012179377.2,xm_008976127.2,xm_001138474.4,xm_003899332.2,xm_009240419.1,xm_012646096.1,xm_011363699.1,xm_010375942.1,xm_016154579.1,xm_010330571.1,xm_004606237.1,xm_003129012.3,xm_004382067.1,xm_014592728.1,xm_019926387.1
FN1,Alcohol,NM_001306129,xm_015110905.1,xm_017315775.1,nm_019143.2,xm_019807523.1,xm_012445852.1,xm_005202777.3,xm_008999434.2,xm_010977136.1,xm_014110988.1,xm_005676508.3,xm_003474205.3,xm_004427520.2,xm_012047885.1,xm_005396902.2,xm_007966173.1,xm_006867789.1,xm_004674316.2,xm_007628261.1,xm_012521450.1,xm_013017678.1,xm_013004337.1,xm_006891955.1,xm_008145189.1,xm_001489104.5,xm_016190330.1,xm_003991118.4,xm_008578833.1,xm_019021858.1,xm_004851094.1,xm_005331841.2,xm_012947758.1,xm_003406078.2,xm_005574207.2,xm_011740520.1,xm_011964681.1,xm_017676154.1,xm_005070516.2,xm_020288214.1,xm_005361405.2,xm_016196756.1,xm_001368412.3,xm_004766992.2,xm_008825675.2,xm_012498192.1,xm_012926041.1,xm_012513690.1,xm_012562666.1,xm_004262746.2,xm_017343087.1,xm_012802144.1,xm_004004907.3,xm_008966263.2,xm_009444224.2,xm_017946910.1,xm_009238072.1,xm_012651458.1,xm_011358694.1,xm_010372183.1,xm_016150057.1,xm_003925565.2,xm_004601433.1,xm_003133642.4,xm_012555550.1,xm_014591202.1,xm_019938963.1
FOS,1,NM_005252,nm_001098399.1,nm_010234.2,nm_022197.2,xm_002914704.3,xm_012438151.1,nm_182786.2,xm_002754121.2,xm_010976475.1,xm_547914.5,xm_005686096.3,xm_003472432.3,xm_004426372.2,xm_012070894.1,xm_005409369.2,xm_007987321.1,xm_006865515.1,xm_004681681.2,nm_001246683.1,xm_004455179.1,xm_013017813.1,xm_004699042.1,xm_006884667.1,xm_008138816.1,xm_001491972.3,xm_007533815.2,nm_001009341.1,xm_008590489.1,xm_004055465.2,nm_001310255.1,xm_005321248.1,xm_004649400.2,xm_010588911.1,xm_005561816.2,xm_011765515.1,xm_011981556.1,xm_017669139.1,xm_005086369.2,xm_012742250.1,xm_005343370.1,xm_016208664.1,xm_001367692.4,xm_004739234.2,xm_008849716.2,xm_003260767.3,xm_004584387.2,xm_004624869.2,xm_004399347.2,xm_004262254.2,xm_002719639.3,xm_003786922.2,nm_001166182.1,xm_003824184.2,nm_001098421.1,xm_003902067.3,xm_002824950.3,xm_012656153.1,xm_011370841.1,xm_010382670.1,xm_016122593.1,xm_003924564.2,xm_004610219.2,nm_001123113.1,xm_004371055.2,xm_006170574.2,xm_019920868.1
FOSB,1,NM_001114171,xm_015124278.1,xm_006539543.2,nm_001256509.1,xm_002924259.3,xm_012446601.1,nm_001102248.1,xm_017967747.1,xm_010987584.1,nm_001013844.1,xm_018062603.1,xm_003464580.3,xm_004440153.2,xm_012080533.1,xm_013508712.1,xm_007997205.1,xm_006871335.1,xm_004694199.2,xm_007609402.2,xm_004481551.2,xm_013032656.1,xm_004710383.1,xm_006901235.1,xm_008158345.1,xm_001502614.4,xm_007532207.2,xm_003997640.4,xm_008577752.1,xm_019015546.1,xm_004873191.1,xm_005338224.2,xm_004670359.1,xm_003406578.2,xm_015441575.1,xm_011735965.1,xm_011975096.1,xm_017644980.1,xm_005086303.2,xm_012761428.1,xm_005370281.1,xm_016212603.1,xm_001362087.3,xm_013064099.1,xm_008852037.2,xm_003277578.2,xm_004598032.1,xm_004644303.1,xm_004400975.1,xm_004271163.2,xm_008252218.2,xm_012811228.1,xm_012190549.2,xm_003817525.2,xm_016936213.1,xm_017952522.1,xm_002829408.3,xm_012653454.1,xm_011367950.1,xm_010377480.1,xm_016155453.1,xm_010350954.1,xm_004607734.1,xm_005671625.1,xm_004381579.1,xm_014583029.1,xm_004315923.2
FOXP1,Alcohol,NM_001012505,nm_001266321.1,xm_006505318.3,xm_017592561.1,xm_019794572.1,xm_012456997.1,xm_015459517.1,xm_008982025.2,xm_010987395.1,xm_014121556.1,xm_018066805.1,xm_005005257.2,xm_014793753.1,xm_012059847.1,xm_013513678.1,xm_007984973.1,xm_006874620.1,xm_004675975.2,xm_016968478.1,xm_012521023.1,xm_013010488.1,xm_004702426.2,xm_006900488.1,xm_008154146.1,xm_005600445.2,xm_016188238.1,xm_019810728.1,xm_008571788.1,xm_019023996.1,xm_013075635.1,xm_005332289.2,xm_004651512.1,xm_010590055.1,xm_005547606.2,xm_011737587.1,xm_011971180.1,xm_017676623.1,xm_013114170.1,xm_020284831.1,xm_013353018.1,xm_016195771.1,xm_016424445.1,xm_013052539.1,xm_017796949.1,xm_003264890.1,xm_004581620.1,xm_004629503.2,xm_004404552.2,,xm_017343964.1,,xm_015102110.1,xm_003811575.3,xm_003309883.3,xm_003894193.3,xm_009238800.1,,xm_011380998.1,xm_010385991.1,xm_016141476.1,xm_010350108.1,xm_004612797.1,nm_001244818.1,xm_004372708.2,xm_006158051.2,xm_019947565.1
FPRL2,Alcohol,NM_002030,xm_015124716.1,nm_008042.2,xm_001058050.4,xm_002927939.3,xm_012462078.1,xm_010817942.2,xm_002762443.3,xm_010978198.1,xm_005616212.1,xm_005680899.3,xm_013147845.1,xm_014794313.1,xm_012081126.1,xm_005412670.2,xm_007997832.1,xm_006868352.1,xm_012730814.1,xm_003514633.2,xm_004454632.1,xm_013027555.1,xm_004710460.1,xm_006897408.1,xm_008154465.1,xm_005596468.1,xm_007538166.1,xm_019818610.1,xm_008583694.1,xm_019016128.1,xm_004866748.1,xm_005342321.2,xm_012951955.1,xm_003406563.1,xm_005590156.2,xm_011767831.1,xm_011965885.1,xm_017643072.1,xm_005086647.2,xm_012785557.2,xm_005372079.1,xm_016217239.1,xm_001378618.3,xm_004828412.2,xm_008853372.2,xm_003269855.3,xm_004597128.1,xm_004644676.1,xm_004417750.1,xm_012539216.1,xm_017338285.1,xm_003803254.1,xm_015098624.1,xm_003813669.2,xm_001174303.3,xm_003916024.3,xm_002829659.3,xm_012643355.1,xm_011381660.1,xm_010376547.1,xm_016125714.1,xm_003944228.1,xm_004619788.1,xm_003362115.3,xm_004381865.1,xm_006157737.2,xm_019938612.1
FSCN1,Alcohol,NM_003088,xm_015133229.1,nm_007984.2,nm_001100806.1,xm_002916474.3,xm_012455574.1,nm_001035045.1,xm_002757735.4,xm_010997930.1,xm_546998.5,xm_018040922.1,xm_003470059.3,xm_004440871.2,xm_012087503.1,xm_005397843.2,xm_008018773.1,xm_006859773.1,xm_004691924.2,xm_003496283.3,xm_012523977.1,xm_013023561.1,xm_004705546.1,xm_006889752.1,xm_008156038.1,xm_014729781.1,xm_007525052.2,xm_011290430.2,xm_008575955.1,xm_004045067.2,xm_004840377.2,xm_005340037.2,xm_004671305.1,xm_003416510.2,xm_005549063.2,xm_011768365.1,xm_011996249.1,xm_017664204.1,xm_005079958.2,xm_012759050.1,xm_005368003.1,xm_016213654.1,xm_001363516.3,xm_004775011.2,xm_008851370.2,xm_003277920.3,xm_004598118.1,xm_004629600.1,xm_004394151.1,xm_004268954.2,xm_008251254.2,xm_003795434.2,xm_015104259.1,xm_008973179.1,xm_518954.6,xm_003895687.3,xm_009235892.1,xm_012639042.1,xm_011363884.1,xm_010366996.1,xm_016155219.1,xm_003934253.2,xm_004617348.1,nm_001146300.1,xm_004380830.1,xm_006143668.2,xm_019924196.1
FUSIP1,Alcohol,NM_001191005,xm_015130994.1,nm_001284195.1,xm_006239221.3,xm_011228477.2,xm_012439945.1,xm_005203272.3,xm_009000635.2,xm_010989806.1,xm_005617808.2,xm_005676851.3,xm_005004298.2,xm_004425728.2,xm_012080154.1,xm_013519618.1,xm_007980044.1,xm_006862296.1,xm_004678613.2,xm_016967636.1,xm_004465396.2,xm_013034042.1,xm_004705101.2,xm_006883517.1,xm_008148084.1,xm_005607474.2,xm_007522590.2,xm_019836388.1,xm_008573120.1,xm_019012726.1,xm_004850581.2,xm_005317602.2,xm_004657513.1,xm_003415388.2,xm_015451377.1,xm_011762847.1,xm_011977854.1,xm_017672376.1,xm_005079610.2,xm_012750670.2,xm_005353037.2,xm_016214635.1,xm_007491302.2,xm_004741179.2,xm_008848611.2,xm_012504001.1,xm_004592251.2,xm_004644832.1,xm_012560385.1,xm_004266695.2,xm_017346468.1,xm_012811387.1,xm_012107725.2,xm_008963134.1,xm_009450696.2,xm_017958235.1,xm_009233641.1,xm_012650893.1,xm_011357601.1,xm_010355742.1,xm_016126777.1,xm_003934860.2,xm_004603439.1,nm_001244368.1,xm_004377117.1,xm_014591970.1,xm_019938510.1
FZD9,Alcohol,NM_003508,xm_001111034.3,nm_010246.1,nm_153305.1,xm_011230163.2,xm_012449041.1,xm_599625.6,xm_008981612.2,xm_010980824.1,xm_546927.4,xm_005709386.3,xm_003470067.3,xm_004442166.1,xm_012076442.1,xm_005396896.2,xm_008018352.1,xm_006859837.1,xm_004688288.1,xm_007624266.1,xm_004452133.1,xm_013031702.1,xm_004705990.1,xm_006889687.1,xm_008141473.1,xm_014729920.1,xm_007517955.1,xm_003998553.4,xm_008580321.1,xm_004045554.2,xm_004840072.1,xm_005328519.1,xm_004666267.2,xm_010600796.1,xm_005549363.2,xm_011767332.1,xm_011976356.1,xm_017660610.1,xm_005080362.2,xm_012742179.2,xm_005344628.1,xm_016199055.1,xm_016429662.1,xm_004761752.1,xm_008848375.1,xm_003276598.2,xm_004586990.1,xm_004630436.2,xm_004399094.2,xm_004268798.2,xm_008249097.2,xm_003794192.2,xm_015104208.1,xm_003815586.2,xm_527779.5,xm_003895871.2,xm_002817864.3,xm_012640373.1,xm_011371531.1,xm_010387454.1,xm_016146486.1,xm_010344837.1,xm_004620849.1,xm_013995531.1,xm_004380750.2,xm_006155025.2,xm_019922064.1
GAA,4,NM_000152,xm_015120499.1,nm_008064.4,xm_006247905.2,xm_002921787.3,xm_012452763.1,xm_005221136.3,xm_017971754.1,xm_011000101.1,xm_005624023.2,xm_005694082.3,xm_013147136.1,xm_004432839.2,xm_012066239.1,xm_005407336.2,xm_008013167.1,xm_006869646.1,xm_012734567.1,xm_016964944.1,xm_012524056.1,xm_013037917.1,xm_004709249.1,xm_006886333.1,xm_008154997.1,xm_005597074.2,xm_016192513.1,xm_003997259.4,xm_008578573.1,xm_019027820.1,xm_004860882.1,xm_005332631.2,xm_004655254.1,xm_010597057.1,xm_005585190.2,xm_011720122.1,xm_011991859.1,xm_017645185.1,xm_013113345.1,xm_012756287.1,xm_005350830.2,xm_016206313.1,xm_001380195.2,xm_004748754.2,xm_008828869.2,xm_003280938.3,xm_004592853.1,xm_004639511.1,xm_012563788.1,xm_012535040.1,xm_008254103.2,xm_003786075.2,xm_012186479.2,xm_003818254.2,xm_016933065.1,xm_009191403.1,nm_001132912.2,xm_012663080.1,xm_011379727.1,xm_010379719.1,xm_016143285.1,xm_003931668.2,xm_004621083.1,xm_013980732.1,xm_012554964.1,xm_014586733.1,xm_019938617.1
GABBR1,4,NM_001319053,xm_015135646.1,xm_006524632.1,nm_031028.3,xm_019793039.1,xm_012477455.1,nm_001163275.1,xm_008994084.1,xm_010994244.1,xm_014110547.1,xm_018038812.1,xm_003461152.3,xm_004441705.2,xm_012092445.1,xm_005414288.2,xm_007973310.1,xm_006875654.1,xm_004694750.2,xm_003507407.3,xm_012521501.1,xm_013031271.1,xm_013008485.1,xm_006896236.1,xm_008157395.1,xm_014734571.1,xm_016192204.1,xm_019830079.1,xm_008588869.1,xm_019029489.1,xm_004847126.2,xm_013364548.1,xm_004671922.2,xm_010601201.1,xm_005553691.2,xm_011758086.1,xm_011992250.1,xm_017657455.1,xm_013126094.1,xm_012760361.2,xm_013351253.1,xm_016222633.1,xm_016430927.1,xm_004781852.1,xm_008850452.2,xm_012503251.1,xm_004598373.2,xm_004648407.1,xm_004412206.1,xm_004286084.1,xm_002714338.3,xm_003788957.2,xm_015102608.1,xm_008955078.2,xm_016955122.1,xm_017957726.1,nm_001132517.1,xm_012660117.1,xm_011384012.1,xm_010381644.1,xm_016120694.1,xm_010332972.1,xm_004619615.1,xm_013977571.1,xm_004387102.1,xm_006172374.2,xm_019944847.1
GABBR2,Nicotine,NM_005458,xm_015117226.1,nm_001081141.1,nm_031802.1,xm_011219329.2,xm_012475766.1,xm_002689734.3,xm_017977615.1,xm_010977467.1,xm_538749.5,xm_005683953.3,xm_013153295.1,xm_014781900.1,xm_012075841.1,xm_005382826.2,xm_007968615.1,xm_006863147.1,xm_004677485.1,xm_007619483.2,xm_004455800.2,xm_013023244.1,xm_004711077.1,xm_006886874.1,xm_008141865.1,xm_001495012.5,xm_016189321.1,xm_003995690.4,xm_008575182.1,xm_004048340.2,xm_004864946.2,xm_013359028.1,xm_004656955.1,xm_003407572.2,xm_005581209.2,xm_011733608.1,xm_011993760.1,xm_017659758.1,xm_013119560.1,xm_012769020.2,xm_013351873.1,xm_016223063.1,xm_001372262.4,xm_004747687.2,xm_008850966.1,xm_003260548.1,xm_004581175.1,xm_004645219.1,xm_004392333.2,xm_004271474.1,xm_008255521.2,xm_003785363.2,xm_012120473.2,xm_003820625.3,xm_016961310.1,xm_017949365.1,xm_002820025.3,xm_012638275.1,xm_011366310.1,xm_010357632.1,xm_016146294.1,xm_003940112.1,xm_004600251.1,xm_003122032.5,xm_004372231.2,xm_006143690.1,xm_019948842.1
GABRB1,4,NM_000812,xm_015138327.1,nm_008069.4,nm_012956.1,xm_002917012.3,xm_012441030.1,nm_174544.2,xm_002745869.4,xm_010992870.1,xm_005628158.2,xm_005681579.2,xm_013154375.1,xm_014784164.1,xm_012082761.1,xm_005391892.2,xm_008017486.1,xm_006872679.1,xm_004681311.1,xm_007648374.1,xm_004469751.1,xm_013008958.1,xm_004706270.1,xm_006894164.1,xm_008140278.1,xm_014738551.1,xm_007539682.1,xm_011281892.2,xm_008580175.1,xm_019025638.1,xm_004849768.2,xm_005319970.2,xm_004658682.2,xm_003415863.1,xm_005554816.2,xm_011751201.1,xm_011975036.1,xm_017652009.1,xm_005080793.2,xm_020284236.1,xm_005359318.1,xm_016207691.1,xm_001364479.2,xm_004764920.2,xm_008837693.1,xm_003258406.1,xm_004579312.2,xm_004645660.1,xm_004396304.1,xm_004268298.2,xm_017337567.1,xm_003794587.2,xm_004009810.3,xm_003816021.3,xm_001154620.4,xm_003898650.3,xm_002814717.2,xm_012639911.1,xm_011362807.1,xm_010385870.1,xm_016161179.1,xm_003933650.2,xm_004608048.1,xm_003356910.4,xm_004390619.1,xm_006141461.2,xm_019928233.1
GABRG1,1,NM_173536,xm_015138325.1,nm_010252.4,nm_080586.1,xm_002921754.3,xm_012441179.1,nm_001101250.1,xm_008993408.2,xm_010980338.1,xm_003639456.3,xm_005681572.3,xm_003471563.3,xm_004419027.2,xm_012028798.1,xm_005391906.2,xm_008017500.1,xm_006877251.1,xm_004681317.2,xm_007634146.1,xm_004458584.1,xm_013008977.1,xm_004706268.1,xm_006894172.1,xm_008140269.1,xm_001496202.4,xm_007539675.1,xm_003985410.4,xm_008586212.1,xm_019024943.1,xm_004849778.1,xm_005319963.1,xm_004658841.1,xm_003411326.2,xm_005554807.2,xm_011751222.1,xm_011971619.1,xm_017669802.1,xm_005080799.2,xm_012743044.2,xm_005359305.1,xm_016206870.1,xm_007496495.2,xm_004764907.2,xm_008837690.1,xm_003258400.3,xm_004579126.2,xm_012512587.1,xm_004417060.1,xm_004268306.1,xm_002709283.2,xm_003794584.2,xm_004009804.3,xm_003816031.1,xm_526775.4,xm_003898641.2,nm_001133931.2,xm_012639889.1,xm_011362806.1,xm_010368560.1,xm_016145831.1,xm_003933657.2,xm_004607999.1,xm_003128952.5,xm_004389027.1,xm_006162884.1,xm_019928234.1
GABRG2,Alcohol,NM_000816,xm_015141355.1,nm_177408.6,xm_006246125.3,xm_011237297.2,xm_012461007.1,xm_005209697.3,xm_002744136.3,xm_010990267.1,xm_546259.5,xm_005683368.3,xm_003473354.3,xm_004428556.2,xm_012050917.1,xm_005376278.2,xm_008015221.1,xm_006864933.1,xm_004689807.2,xm_007614317.1,xm_004450561.1,xm_013028634.1,xm_004696770.1,xm_006897047.1,xm_008147644.1,xm_001503367.4,xm_007539675.1,xm_003981342.4,xm_008590993.1,xm_004042948.2,xm_013078549.1,xm_005325415.1,xm_004661044.1,xm_003404641.2,xm_005558458.2,xm_011739977.1,xm_011966659.1,xm_017641193.1,xm_013114734.1,xm_012753006.1,xm_005368193.1,xm_016213991.1,xm_016428531.1,xm_004737671.2,xm_008821678.1,xm_003268620.2,xm_004587461.2,xm_004629470.1,xm_004392044.1,xm_004271965.1,xm_008255357.2,xm_003781975.2,xm_004009045.3,xm_003808008.2,xm_016954156.1,xm_009209527.2,nm_001133740.1,xm_012643973.1,xm_011356703.1,xm_010367359.1,xm_016167111.1,xm_003934739.2,xm_004611459.1,xm_003359825.3,xm_004371230.2,xm_006165052.2,xm_019945378.1
GAD1,Cocaine,NM_000817,xm_015110351.1,nm_008077.5,nm_017007.1,xm_011230649.2,xm_012468546.1,nm_001075756.2,xm_008998729.2,xm_010982503.1,nm_001097543.1,xm_018064478.1,xm_013142599.1,xm_004428203.2,xm_012046961.1,xm_005393242.2,xm_007965322.1,xm_006866618.1,xm_004674864.2,xm_007611691.1,xm_004460785.2,xm_013027818.1,xm_004703751.1,xm_006878852.1,xm_008138582.1,xm_001498256.4,xm_007534532.2,xm_019835947.1,xm_008567652.1,xm_019022482.1,xm_004857648.2,xm_005324576.1,xm_004660359.1,xm_003405794.2,xm_005573441.2,xm_011744029.1,xm_011991947.1,xm_017666337.1,xm_005065167.2,xm_012781916.1,xm_005346538.2,xm_016224968.1,xm_016433699.1,xm_004744054.2,xm_008855237.2,xm_003254244.1,xm_004577075.2,xm_004634767.1,xm_004407667.2,xm_004267286.1,xm_002712277.3,xm_003800861.2,xm_004004607.3,xm_003824281.2,xm_009443704.1,xm_009182424.1,nm_001132806.1,xm_012650776.1,xm_011360088.1,xm_010377613.1,xm_016165450.1,xm_010352256.1,xm_004601145.1,nm_213894.1,xm_004375527.1,xm_006141489.1,xm_019922234.1
GADD45G,6,NM_006705,nm_001193910.1,nm_011817.2,nm_001077640.1,xm_019800064.1,xm_012463115.1,nm_001045901.1,xm_002742712.3,xm_010976914.1,xm_541314.5,xm_018052512.1,xm_003461846.3,xm_004428313.2,xm_012056963.1,xm_005408873.2,xm_007969715.1,xm_006872585.1,xm_004684488.2,xm_007624404.1,xm_004469964.1,xm_013036436.1,xm_004714590.1,xm_006900725.1,xm_008156861.1,xm_001917897.3,xm_007539887.2,xm_011279903.1,xm_008570041.1,xm_004048235.2,xm_004851310.1,xm_005340226.2,xm_004668368.2,xm_003421568.2,xm_005582122.2,xm_011771166.1,xm_011975182.1,xm_017654959.1,xm_005066302.2,xm_012773804.1,xm_005371312.1,xm_016208766.1,xm_001362401.3,xm_004778803.2,xm_008854594.2,xm_003281892.3,xm_004581137.1,xm_004644093.1,xm_004409847.1,xm_004270604.1,xm_002708287.2,xm_003795014.2,xm_015093022.1,xm_003806312.3,xm_001141972.5,xm_003911896.3,xm_002819944.3,xm_012653574.1,xm_011372363.1,xm_010355910.1,xm_016122917.1,xm_003938190.2,xm_004620941.2,nm_001185129.1,xm_004384235.1,xm_006154332.2,xm_004318303.2
GAPDH,5,NM_001256799,nm_001195426.1,nm_001289726.1,nm_017008.4,nm_001304846.1,xm_012472830.1,nm_001034034.2,xm_002759682.4,xm_010990867.1,nm_001003142.2,xm_005680968.3,nm_001172951.1,xm_004438729.2,xm_012054288.1,xm_005378778.2,xm_007967342.1,xm_006862661.1,xm_012725262.1,nm_001244854.2,xm_012518130.1,xm_013023590.1,xm_013006252.1,xm_006879814.1,xm_008144826.1,nm_001163856.1,xm_007527837.2,xm_006933438.3,xm_008584851.1,xm_019023188.1,xm_004869398.1,xm_005338350.2,xm_004668680.1,xm_010590823.1,xm_015430282.1,xm_011745568.1,xm_011993068.1,xm_017645956.1,xm_013124485.1,xm_012760470.2,xm_013353003.1,xm_016221854.1,xm_007503905.1,xm_004766704.2,xm_008835531.1,xm_003273723.3,xm_004596366.2,xm_004643553.2,xm_004403791.2,xm_004279036.1,nm_001082253.1,xm_012806117.1,nm_001190390.1,xm_008973732.1,xm_508955.6,xm_009188625.2,nm_001132295.2,xm_012637865.1,xm_011365872.1,xm_010377639.1,xm_016162843.1,xm_003942163.2,xm_004610453.1,nm_001206359.1,xm_004387206.2,xm_006170849.1,xm_019925987.1
GARS,Alcohol,NM_001316772,xm_015133775.1,nm_180678.3,nm_001271139.2,xm_002919256.3,xm_012475126.1,nm_001097566.1,xm_002751430.4,xm_010988042.1,xm_003639490.3,xm_018047109.1,xm_003467957.3,xm_004418866.2,xm_012082891.1,xm_005377501.2,xm_007981718.1,xm_006832166.1,xm_004676821.2,xm_016976363.1,xm_004453204.2,xm_013035156.1,xm_004702755.2,xm_006902795.1,xm_008147587.1,xm_014739135.1,xm_007535398.2,xm_003982939.4,xm_008581169.1,xm_019031020.1,xm_004839474.2,xm_005319164.2,xm_004652763.2,xm_003407015.2,xm_005549878.2,xm_011731455.1,xm_011972207.1,xm_017670910.1,xm_005076799.2,xm_012735863.2,xm_005360813.1,xm_016222295.1,xm_016423726.1,xm_004762573.2,xm_008827517.2,xm_003270486.1,xm_004582402.2,xm_004626520.1,xm_004413949.2,xm_004269943.2,xm_008261599.2,xm_003788551.2,xm_004007927.3,xm_003833378.3,nm_001280478.1,xm_003896144.3,nm_001133870.1,xm_012640679.1,xm_011384611.1,xm_010371160.1,xm_016123837.1,xm_003935181.1,xm_004604249.1,xm_003134806.5,xm_004377503.1,xm_006146230.2,xm_019926021.1
GCLC,2,NM_001197115,nm_001261107.1,xm_006510812.1,nm_012815.2,xm_002922955.3,xm_012441601.1,xm_005223237.3,xm_002746658.3,xm_010992378.1,xm_847752.4,xm_005696442.3,xm_013148959.1,xm_004424011.1,xm_012069700.1,xm_005377605.2,xm_007972227.1,xm_006835721.1,xm_004673577.2,xm_007610964.2,xm_004449877.2,xm_013019065.1,xm_004696350.1,xm_006893129.1,xm_008142777.1,xm_001503180.5,xm_007516502.2,xm_019830733.1,xm_008592786.1,xm_004044219.1,nm_001303306.1,xm_005318554.2,xm_004660501.1,xm_010587031.1,xm_005552725.2,xm_011756797.1,xm_011981290.1,xm_017651874.1,xm_005073712.2,xm_012780759.2,xm_005347600.1,xm_016198045.1,xm_001364459.3,xm_004771855.2,xm_008836541.1,xm_003254139.2,xm_004599444.2,xm_004644624.1,xm_004410686.2,xm_004267766.1,xm_017345204.1,xm_012805083.1,xm_015102644.1,xm_014345389.1,xm_001155930.5,xm_003897747.2,xm_002817014.3,xm_012648602.1,xm_011379090.1,xm_010363973.1,xm_016153875.1,xm_003926383.1,xm_004605863.1,xm_013977739.1,xm_004386815.1,xm_014583031.1,xm_019931431.1
